English,Japanese,Short,Notes,Status
acid,酸,,source: ui-liquids.ja.json,draft
asphalt,アスファルト,,source: ui-liquids.ja.json,draft
black ooze,黒い軟泥,,source: ui-liquids.ja.json,draft
blaze tonic,ブレイズトニック,,source: world-effects-tonics.ja.json,draft
blood,血,,source: ui-liquids.ja.json,draft
brackish,汽水,,source: ui-liquids.ja.json,draft
brain-brine,脳髄汁,,source: ui-liquids.ja.json,draft
brown sludge,茶色い汚泥,,source: ui-liquids.ja.json,draft
cider,サイダー,,source: ui-liquids.ja.json,draft
cloning-draught,クローン薬液,,source: ui-liquids.ja.json,draft
convalessence,コンバレセンス,,source: ui-liquids.ja.json,draft
fresh water,淡水,,source: ui-liquids.ja.json,draft
gel,ゲル,,source: ui-liquids.ja.json,draft
green goo,緑の粘液,,source: ui-liquids.ja.json,draft
honey,はちみつ,,source: ui-liquids.ja.json,draft
hulk honey tonic,ハルク ハニートニック,,source: world-effects-tonics.ja.json,draft
ink,インク,,source: ui-liquids.ja.json,draft
lava,溶岩,,source: ui-liquids.ja.json,draft
love tonic,ラブトニック,,source: world-effects-tonics.ja.json,draft
molten wax,溶けた蝋,,source: ui-liquids.ja.json,draft
neutron flux,中性子 フラックス,,source: ui-liquids.ja.json,draft
oil,油,,source: ui-liquids.ja.json,draft
ooze,軟泥,,source: ui-liquids.ja.json,draft
primordial soup,原始スープ,,source: ui-liquids.ja.json,draft
putrescence,腐敗液,,source: ui-liquids.ja.json,draft
rubbergum tonic,ラバーガムトニック,,source: world-effects-tonics.ja.json,draft
salt,塩,,source: ui-liquids.ja.json,draft
salve tonic,サルヴトニック,,source: world-effects-tonics.ja.json,draft
sap,樹液,,source: ui-liquids.ja.json,draft
shade oil tonic,シェードオイルトニック,,source: world-effects-tonics.ja.json,draft
skulk tonic,スカルクトニック,,source: world-effects-tonics.ja.json,draft
slime,スライム,,source: ui-liquids.ja.json,draft
sludge,汚泥,,source: ui-liquids.ja.json,draft
sphynx salt tonic,スフィンクス ソルトトニック,,source: world-effects-tonics.ja.json,draft
sunslag,サンスラグ,,source: ui-liquids.ja.json,draft
tar,タール,,source: ui-liquids.ja.json,draft
ubernostrum tonic,ウベルノストラムトニック,,source: world-effects-tonics.ja.json,draft
warm static,ウォームスタティック,,source: ui-liquids.ja.json,draft
water,水,,source: ui-liquids.ja.json,draft
wax,蝋,,source: ui-liquids.ja.json,draft
wine,ワイン,,source: ui-liquids.ja.json,draft
