English,Japanese,Short,Notes,Status
A Call to Arms,,,source: Quests.jp.xml,draft
A Canticle for Barathrum,,,source: Quests.jp.xml,draft
A Signal in the Noise,,,source: Quests.jp.xml,draft
Accuse the thief,,,source: Quests.jp.xml,draft
Acquire an Ascension Power Source,,,source: Quests.jp.xml,draft
Ascend,,,source: Quests.jp.xml,draft
Ascend the Tomb and Cross into Brightsheol,,,source: Quests.jp.xml,draft
Beast Slouching,,,source: Quests.jp.xml,draft
Bid the Slynth to Choose,,,source: Quests.jp.xml,draft
Brief Warden Neelahind,,,source: Quests.jp.xml,draft
Choose a Body,,,source: Quests.jp.xml,draft
Choose a Catalyst,,,source: Quests.jp.xml,draft
Choose a Hamsa,,,source: Quests.jp.xml,draft
Choose an Armament,,,source: Quests.jp.xml,draft
Choose an Atzmus,,,source: Quests.jp.xml,draft
Choose an Incantation,,,source: Quests.jp.xml,draft
Consult Settlements,,,source: Quests.jp.xml,draft
Convince Pax Klanq to Construct the Climber,,,source: Quests.jp.xml,draft
Decode the Signal,,,source: Quests.jp.xml,draft
Decoding the Signal,,,source: Quests.jp.xml,draft
Defend Grit Gate,,,source: Quests.jp.xml,draft
Deliver News of Eskhind,,,source: Quests.jp.xml,draft
Disable the Spindle's Magnetic Field,,,source: Quests.jp.xml,draft
Discover all the evidence,,,source: Quests.jp.xml,draft
Eat the God's Flesh,,,source: Quests.jp.xml,draft
Enter the Tomb of the Eaters,,,source: Quests.jp.xml,draft
Fetch Argyve a Knickknack,,,source: Quests.jp.xml,draft
Fetch Argyve Another Knickknack,,,source: Quests.jp.xml,draft
Find 200 Feet of Wire,,,source: Quests.jp.xml,draft
Find a Dysfunctional Waydroid,,,source: Quests.jp.xml,draft
Find a Knickknack,,,source: Quests.jp.xml,draft
Find Another Knickknack,,,source: Quests.jp.xml,draft
Find Eskhind,,,source: Quests.jp.xml,draft
Find Mamon Souldrinker,,,source: Quests.jp.xml,draft
Find the Vermin,,,source: Quests.jp.xml,draft
Follow the Coral Path,,,source: Quests.jp.xml,draft
Fraying Favorites,,,source: Quests.jp.xml,draft
Gather Tau's Chime,,,source: Quests.jp.xml,draft
Get a Corpse,,,source: Quests.jp.xml,draft
Get Q Girl's Blueprints for the Climber,,,source: Quests.jp.xml,draft
Get Q Girl's Instructions onto the Data Disk,,,source: Quests.jp.xml,draft
Go to the Bottom of Taproot,,,source: Quests.jp.xml,draft
Grave Thoughts,,,source: Quests.jp.xml,draft
"If, Then, Else",,,source: Quests.jp.xml,draft
Inscribe the Mark,,,source: Quests.jp.xml,draft
Investigate Bey Lah,,,source: Quests.jp.xml,draft
Investigate the Rumbling,,,source: Quests.jp.xml,draft
Kith and Kin,,,source: Quests.jp.xml,draft
Landing Pads,,,source: Quests.jp.xml,draft
Locate the Barathrumite Enclave,,,source: Quests.jp.xml,draft
Locate the Mechanimist Compound at Bethesda Susa,,,source: Quests.jp.xml,draft
Love and Fear,,,source: Quests.jp.xml,draft
Make a Pilgrimage to the Six Day Stilt,,,source: Quests.jp.xml,draft
More Than a Willing Spirit,,,source: Quests.jp.xml,draft
O Glorious Shekhinah!,,,source: Quests.jp.xml,draft
"Pax Klanq, I Presume?",,,source: Quests.jp.xml,draft
Petals on the Wind,,,source: Quests.jp.xml,draft
Prepare Defenses,,,source: Quests.jp.xml,draft
Prepare to Ascend,,,source: Quests.jp.xml,draft
Procure the Sanguine Fluid,,,source: Quests.jp.xml,draft
Raising Indrix,,,source: Quests.jp.xml,draft
Reclamation,,,source: Quests.jp.xml,draft
Recover the Amaranthine Prism,,,source: Quests.jp.xml,draft
Recover the Mark of Death,,,source: Quests.jp.xml,draft
Recover the Repulsive Device,,,source: Quests.jp.xml,draft
Repair the Waydroid,,,source: Quests.jp.xml,draft
Rescue an Imperiled Love,,,source: Quests.jp.xml,draft
Return the Love Sonnet,,,source: Quests.jp.xml,draft
Return to Argyve,,,source: Quests.jp.xml,draft
Return to Grit Gate,,,source: Quests.jp.xml,draft
Return to the Hydropon,,,source: Quests.jp.xml,draft
Return to the Keter,,,source: Quests.jp.xml,draft
Return with the Corpse,,,source: Quests.jp.xml,draft
Reunite Tau with Her Chime,,,source: Quests.jp.xml,draft
Sanctuary Candidates,,,source: Quests.jp.xml,draft
Secure the Spindle,,,source: Quests.jp.xml,draft
Seek the Heart of the Rainbow,,,source: Quests.jp.xml,draft
Speak to Otho,,,source: Quests.jp.xml,draft
Speak to Warden Neelahind,,,source: Quests.jp.xml,draft
Speak with the Barathrumites,,,source: Quests.jp.xml,draft
Speak with the Watchers,,,source: Quests.jp.xml,draft
Talk to Lebah,,,source: Quests.jp.xml,draft
The Assessment,,,source: Quests.jp.xml,draft
The Buried Watchers,,,source: Quests.jp.xml,draft
The Earl of Omonporch,,,source: Quests.jp.xml,draft
The Golem,,,source: Quests.jp.xml,draft
Travel to Golgotha,,,source: Quests.jp.xml,draft
Travel to Grit Gate,,,source: Quests.jp.xml,draft
Travel to Omonporch,,,source: Quests.jp.xml,draft
Travel to Red Rock,,,source: Quests.jp.xml,draft
Use the Repulsive Device,,,source: Quests.jp.xml,draft
Visit the Mopango Settlement in the Tomb of the Eaters,,,source: Quests.jp.xml,draft
We Are Starfreight,,,source: Quests.jp.xml,draft
Weirdwire Conduit... Eureka!,,,source: Quests.jp.xml,draft
What's Eating the Watervine?,,,source: Quests.jp.xml,draft
